126,세종학당재단,사무 보조원(공공기관),계약직,월급,2020000,"서울특별시 서초구 반포대로 22 평화빌딩 11층, 12층 (서초동)","공사,공공",서울동부지사,127.012562,37.4826999
127,세진식품(주),식품 분야 단순 종사원,상용직,시급,9620,"충청남도 아산시 도고면 온천대로207번길 71 (신언리), 세진식품",중소,경기동부지사,126.8768098,36.7533544
128,서울면일초등학교,환경 미화원,계약직,월급,1200000,서울특별시 중랑구 용마산로100길 13 (망우동),"공사,공공",서울북부지사,127.0997979,37.5920729
129,서울우이초등학교,사무 보조원(공공기관),계약직,시급,12030,서울특별시 강북구 삼양로99길 36 (수유동),"공사,공공",서울북부지사,127.01515,37.6388654
130,(주)하이네켄코리아,환경 미화원,계약직,시급,9620,서울특별시 강남구 테헤란로114길 38 동일타워 11층 (대치동) (대치동),중소,서울북부지사,127.0669929,37.5071243
131,(주)티아이오토모티브,환경 미화원,상용직,시급,9620,충청남도 천안시 서북구 3공단3로 51  (백석동),중소,충남지사,127.1155059,36.833764
132,행복믿음 주식회사,음료 조리사(바리스타 포함),계약직,연봉,14000000,서울특별시 종로구 종로 26 (서린동),대기업,충남지사,126.9804525,37.5697097
133,주식회사대건솔루션,세탁원(다림질원),상용직,시급,9620,전라남도 여수시 화양면 영터길 35-13 대건솔루션,중소,전남지사,127.6248114,34.7259062
134,(주)정담은,식품 분야 단순 종사원,상용직,시급,9620,경상남도 창원시 마산회원구 봉암공단7길 73 (봉암동) 1층,개인,경남지사,128.5961233,35.2148103
135,(주)현대캐터링시스템,단체 급식 보조원,계약직,시급,9620,경기도 성남시 분당구 야탑로 98 2층 (주)현대캐터링시스템 (야탑동),대기업,전북지사,127.1297019,37.4096483
137,(주)케이티씨에스,각종 단체 및 기타 고객서비스 관리자,계약직,월급,1003570,"대전광역시 서구 갈마로 160 ktcs,",중소,전북지사,127.3752466,36.3365369
138,(주)케이티씨에스,각종 단체 및 기타 고객서비스 관리자,계약직,월급,1003570,"대전광역시 서구 갈마로 160 ktcs,",중소,전북지사,127.3752466,36.3365369
139,(주)케이티씨에스,각종 단체 및 기타 고객서비스 관리자,계약직,월급,1003570,"대전광역시 서구 갈마로 160 ktcs,",중소,전북지사,127.3752466,36.3365369
